Thu Sep 28 19:18:03 2017, Overcast
Thu Sep 28 20:18:09 2017, Rain
Thu Sep 28 21:18:15 2017, Rain
Thu Sep 28 22:18:19 2017, Rain
Thu Sep 28 23:18:24 2017, Overcast
Fri Sep 29 00:18:28 2017, Mostly Cloudy
Fri Sep 29 01:18:32 2017, Overcast
Fri Sep 29 02:18:36 2017, Mostly Cloudy
Fri Sep 29 03:18:40 2017, Overcast
Fri Sep 29 04:18:44 2017, Overcast
Fri Sep 29 05:18:48 2017, Mostly Cloudy
Fri Sep 29 06:18:52 2017, Mostly Cloudy
Fri Sep 29 07:18:56 2017, Partly Cloudy
Fri Sep 29 08:19:00 2017, Partly Cloudy
Fri Sep 29 09:19:04 2017, Clear
Fri Sep 29 10:19:09 2017, Clear
Fri Sep 29 11:19:13 2017, Clear
Fri Sep 29 12:19:17 2017, Clear
Fri Sep 29 13:19:21 2017, Clear
Fri Sep 29 14:19:26 2017, Partly Cloudy
Fri Sep 29 15:19:30 2017, Partly Cloudy
Fri Sep 29 16:19:35 2017, Partly Cloudy
Fri Sep 29 17:19:39 2017, Partly Cloudy
Fri Sep 29 18:19:43 2017, Partly Cloudy
Fri Sep 29 19:19:47 2017, Partly Cloudy
Fri Sep 29 20:19:51 2017, Clear
Fri Sep 29 21:19:56 2017, Clear
Fri Sep 29 22:20:00 2017, Clear
Fri Sep 29 23:20:04 2017, Clear
Sat Sep 30 00:20:08 2017, Clear
Sat Sep 30 01:20:12 2017, Clear
Sat Sep 30 02:20:17 2017, Clear
Sat Sep 30 03:20:21 2017, Clear
Sat Sep 30 04:20:25 2017, Clear
Sat Sep 30 05:20:29 2017, Clear
Sat Sep 30 06:20:33 2017, Clear
Sat Sep 30 07:20:38 2017, Clear
Sat Sep 30 08:20:42 2017, Clear
Sat Sep 30 09:20:46 2017, Clear
Sat Sep 30 10:20:52 2017, Clear
Sat Sep 30 11:20:56 2017, Clear
Sat Sep 30 12:21:00 2017, Clear
Sat Sep 30 13:21:04 2017, Clear
Sat Sep 30 14:21:08 2017, Clear
Sat Sep 30 15:21:12 2017, Clear
Sat Sep 30 16:21:17 2017, Clear
Sat Sep 30 17:21:21 2017, Clear
Sat Sep 30 18:21:25 2017, Clear
Sat Sep 30 19:21:29 2017, Clear
Sat Sep 30 20:21:33 2017, Clear
Sat Sep 30 21:21:37 2017, Clear
Sat Sep 30 22:21:41 2017, Clear
Sat Sep 30 23:21:45 2017, Clear
Wed Oct 11 00:09:26 2017, Mostly Cloudy
Wed Oct 11 01:09:30 2017, Mostly Cloudy
Wed Oct 11 02:09:34 2017, Partly Cloudy
Wed Oct 11 03:09:38 2017, Partly Cloudy
Wed Oct 11 04:09:42 2017, Partly Cloudy
Wed Oct 11 05:09:46 2017, Partly Cloudy
Wed Oct 11 06:09:50 2017, Partly Cloudy
Wed Oct 11 07:09:54 2017, Partly Cloudy
Wed Oct 11 08:09:58 2017, Partly Cloudy
Wed Oct 11 09:10:02 2017, Clear
Wed Oct 11 10:10:06 2017, Clear
Wed Oct 11 11:10:10 2017, Clear
Wed Oct 11 12:10:14 2017, Clear
Wed Oct 11 13:10:18 2017, Clear
Wed Oct 11 14:10:22 2017, Clear
Wed Oct 11 15:10:26 2017, Clear
Wed Oct 11 16:10:30 2017, Clear
Wed Oct 11 17:10:34 2017, Clear
Wed Oct 11 18:10:38 2017, Clear
Wed Oct 11 19:10:42 2017, Clear
Wed Oct 11 20:10:46 2017, Clear
Wed Oct 11 21:10:50 2017, Clear
Wed Oct 11 22:10:54 2017, Clear
Wed Oct 11 23:10:58 2017, Clear
Thu Oct 12 00:11:02 2017, Clear
Thu Oct 12 01:11:06 2017, Clear
Thu Oct 12 02:11:10 2017, Clear
Thu Oct 12 03:11:14 2017, Clear
Thu Oct 12 04:11:17 2017, Clear
Thu Oct 12 05:11:21 2017, Clear
Thu Oct 12 06:11:25 2017, Clear
Thu Oct 12 07:11:29 2017, Clear
Thu Oct 12 08:11:33 2017, Clear
Thu Oct 12 09:11:37 2017, Clear
Thu Oct 12 10:11:41 2017, Clear
Thu Oct 12 11:11:45 2017, Clear
Thu Oct 12 12:11:49 2017, Clear
Thu Oct 12 13:11:53 2017, Clear
Thu Oct 12 14:11:57 2017, Clear
Thu Oct 12 15:12:01 2017, Clear
Thu Oct 12 16:12:05 2017, Clear
Thu Oct 12 17:12:09 2017, Partly Cloudy
Thu Oct 12 18:12:13 2017, Partly Cloudy
Thu Oct 12 19:12:17 2017, Clear
Thu Oct 12 20:12:21 2017, Partly Cloudy
Thu Oct 12 21:12:25 2017, Partly Cloudy
Thu Oct 12 22:12:29 2017, Partly Cloudy
Thu Oct 12 23:12:33 2017, Partly Cloudy
Fri Oct 13 00:12:37 2017, Partly Cloudy
Fri Oct 13 01:12:41 2017, Clear
Fri Oct 13 02:12:45 2017, Partly Cloudy
Fri Oct 13 03:12:49 2017, Fog
Fri Oct 13 04:12:53 2017, Fog
Fri Oct 13 05:12:56 2017, Partly Cloudy
Fri Oct 13 06:13:00 2017, Fog
Fri Oct 13 07:13:04 2017, Fog
Fri Oct 13 08:13:08 2017, Mostly Cloudy
Fri Oct 13 09:13:12 2017, Fog
Fri Oct 13 10:13:16 2017, Partly Cloudy
Fri Oct 13 11:13:20 2017, Clear
Fri Oct 13 12:13:24 2017, Partly Cloudy
Fri Oct 13 13:13:27 2017, Partly Cloudy
Fri Oct 13 14:13:31 2017, Partly Cloudy
Fri Oct 13 15:13:35 2017, Partly Cloudy
Fri Oct 13 16:13:39 2017, Partly Cloudy
Fri Oct 13 17:13:43 2017, Partly Cloudy
Fri Oct 13 18:13:47 2017, Clear
Fri Oct 13 19:13:51 2017, Clear
Fri Oct 13 20:13:55 2017, Clear
Fri Oct 13 21:13:59 2017, Clear
Fri Oct 13 22:14:02 2017, Clear
Fri Oct 13 23:14:06 2017, Clear
Sat Oct 14 00:14:10 2017, Clear
Sat Oct 14 01:14:14 2017, Clear
Sat Oct 14 02:14:18 2017, Fog
Sat Oct 14 03:14:22 2017, Partly Cloudy
Sat Oct 14 04:14:26 2017, Fog
Sat Oct 14 05:14:30 2017, Fog
Sat Oct 14 06:14:34 2017, Fog
Sat Oct 14 07:14:38 2017, Fog
Sat Oct 14 08:14:42 2017, Fog
Sat Oct 14 09:14:46 2017, Fog
Sat Oct 14 10:14:49 2017, Clear
Sat Oct 14 11:14:53 2017, Mostly Cloudy
Sat Oct 14 12:14:57 2017, Partly Cloudy
